O,1972,Summer,Munich
E,Swimming,Olympic Park Schwimmenhalle
A,Shirley Babashoff,USA
M,100m Freestyle,1972,Silver
M,200m Freestyle,1972,Silver
M,4 x 100m Freestyle Relay,1972,Gold
O,1976,Summer,Montreal
E,Swimming,Olympic Park Pool
A,Brian Goodell,USA
M,400m Freestyle,1976,Gold
M,1500m Freestyle,1976,Gold
A,Shirley Babashoff,USA
M,200m Freestyle,1976,Silver
M,400m Freestyle,1976,Sliver
M,800m Freestyle,1976,Silver
M,4 x 100m Freestyle Relay,1976,Gold
M,4 x 100m Medley Relay,1976,Silver
E,Cycling,Olympic Park Velodrome
A,Gregor Braun,Germany
M,Individual Pursuit,1976,Gold
M,Team Pursuit,1976,Gold
